"YEAR","PROJECT_CODE","EVENT_NUMBER","EVENT_ID","START_TIME","END_TIME","VESSEL_CODE","STATION_ID","STATION_ORIG","STATION_TYPE_CODE","ADFG_STAT_AR","NMFS_REP_AR","DATE_SET","DATE_HAULED","START_LATITUDE","START_LONGITUDE","END_LATITUDE","END_LONGITUDE","POSITION_TYPE","GEAR_CODE","HEADING_TRUE","MINIMUM_DEPTH","MAXIMUM_DEPTH","WIRE_LENGTH","TOW_SPEED","TARE_WEIGHT","GROSS_WEIGHT","CATCH_WEIGHT","HAUL_SAMPLE_TYPE","SURFACE_TEMP","BOTTOM_TEMP","SURFACE_SALINITY","GEAR_PERFORMANCE_CODE","GEAR_COMMENTS","USED_IN_ESTIMATE","SEA_STATE_CODE","SWELL_HEIGHT_CODE","CLOUD_CODE","COMMENTS","CTD","TD","BOTTOM_SENSOR","NET_SONAR","VIDEO","PHOTOS","NET_ID","HEAD_ROPE_LENGTH","Tow_Length_Calc","TOW_LENGTH_FIELD","TOW_LENGTH_DESIGNATED","DURATION","DB_Comments","Photo_1","Photo_2","Photo_3"
"1989","T04","011","1989T04011",12/30/1899 12:30:00,12/30/1899 12:57:00,"19433","8","2-20","Standard","515935","630",10/25/1989 0:00:00,10/25/1989 0:00:00,59.567166,-151.438666,59.562666,-151.470500,,"07",196.000000,159.105599,170.078399,503.000000,,137.892080,299.370964,161.478883,"W",7.800000,,,"20",,"NO","2","3","2","May have same problem as PWS, with net not opening at >depth","0","0","0","0","0","0",,70.000000,"1",1.000000,1.010000,27,,,,
"1990","T04","001","1990T04001",12/30/1899 8:21:00,12/30/1899 8:48:00,"19433","9","9","Standard","515935","630",7/6/1990 0:00:00,7/6/1990 0:00:00,59.563000,-151.557333,59.570500,-151.529833,,"07",21.000000,100.583999,104.241599,320.000000,,136.984895,650.451458,513.466562,"M",,,,"01",,"YES","1","2","8",,"0","0","0","0","0","0",,70.000000,"0.94",1.000000,0.950000,27,,,,
"1990","T04","002","1990T04002",12/30/1899 11:04:00,12/30/1899 11:31:00,"19433","10","10","Standard","515935","630",7/6/1990 0:00:00,7/6/1990 0:00:00,59.566667,-151.605667,59.559500,-151.635667,,"07",191.000000,78.638399,84.124799,274.000000,,135.170526,479.900727,344.730201,"M",,,,"01",,"YES","1","2","9",,"0","0","0","0","0","0",,70.000000,"1",1.000000,1.010000,27,,,,
"1990","T04","003","1990T04003",,12/30/1899 13:20:00,"19433","12","12","Standard","515936","630",7/6/1990 0:00:00,7/6/1990 0:00:00,59.572000,-151.696667,59.568000,-151.728000,,"07",191.000000,82.295999,84.124799,274.000000,,182.344132,1625.675054,1443.330921,"M",,,,"01",,"YES","1","2","9",,"0","0","0","0","0","0",,70.000000,"0.99",1.000000,0.980000,,,,,
"1990","T04","004","1990T04004",12/30/1899 14:47:00,12/30/1899 15:05:00,"19433","14","14","Standard","515936","630",7/6/1990 0:00:00,7/6/1990 0:00:00,59.567167,-151.769167,59.560833,-151.782500,,"07",171.000000,73.151999,76.809599,229.000000,,137.892080,612.349699,474.457619,"M",,,,"01","H","YES","1","2","9",,"0","0","0","0","0","0",,70.000000,"0.56",0.600000,0.560000,18,"Gear_perf changed",,,
"1990","T04","005","1990T04005",12/30/1899 7:45:00,12/30/1899 8:08:00,"19433","7","8","Standard","515935","630",7/8/1990 0:00:00,7/8/1990 0:00:00,59.577333,-151.482667,59.580167,-151.459500,,"07",41.000000,93.268799,98.755199,320.000000,,136.984895,410.047502,273.062606,"M",,,,"01","H","YES","1","2","8",,"0","0","0","0","0","0",,70.000000,"0.73",0.750000,0.730000,23,"Gear_perf changed",,,
"1990","T04","006","1990T04006",12/30/1899 9:42:00,12/30/1899 9:56:00,"19433","13","13","Standard","515936","630",7/8/1990 0:00:00,7/8/1990 0:00:00,59.523167,-151.728500,59.524167,-151.711833,,"07",46.000000,102.412799,104.241599,274.000000,,144.242373,389.182253,244.939879,"M",,,,"01","H","YES","1","1","8",,"0","0","0","0","0","0",,70.000000,"0.5",0.500000,0.510000,14,"Gear_perf changed",,,
"1990","T04","007","1990T04007",12/30/1899 11:21:00,12/30/1899 11:48:00,"19433","17","17","Standard","515937","630",7/8/1990 0:00:00,7/8/1990 0:00:00,59.577500,-151.857000,59.567000,-151.884167,,"07",186.000000,31.089599,31.089599,91.000000,,139.706449,1034.190603,894.484153,"M",9.700000,,,"01",,"NO","2","1","9",,"0","0","0","0","0","0",,70.000000,"1.03",1.000000,1.040000,27,,,,
"1990","T04","008","1990T04008",,12/30/1899 13:19:00,"19433","20","20","Standard","515937","630",7/8/1990 0:00:00,7/8/1990 0:00:00,59.564833,-151.986500,59.548500,-151.990167,,"07",146.000000,40.233599,40.233599,110.000000,,,,4535.923700,"O",9.700000,,,"01",,"NO","2","1","8","too heavy to lift splitting line broke, total weight estimated","0","0","0","0","0","0",,70.000000,"0.99",1.000000,0.990000,,,,,
"1990","T04","009","1990T04009",12/30/1899 15:37:00,12/30/1899 16:05:00,"19433","21","21","Standard","515937","630",7/8/1990 0:00:00,7/8/1990 0:00:00,59.532667,-151.931667,59.523333,-151.960000,,"07",176.000000,43.891199,51.206399,137.000000,,161.478883,3030.904216,2869.425332,"M",10.200000,,,"01",,"NO","2","2","7",,"0","0","0","0","0","0",,70.000000,"1.02",1.000000,1.030000,28,,,,
"1990","T04","010","1990T04010",12/30/1899 7:50:00,12/30/1899 8:16:00,"19433","5","5","Standard","515932","630",7/9/1990 0:00:00,7/9/1990 0:00:00,59.638333,-151.351500,59.644667,-151.320500,,"07",16.000000,25.603199,25.603199,91.000000,,235.868032,950.729607,714.861575,"M",,,,"01",,"YES","2","1","9",,"0","0","0","0","0","0",,70.000000,"1.01",1.000000,1.020000,26,,,,
"1990","T04","011","1990T04011",12/30/1899 11:15:00,12/30/1899 11:38:00,"19433","1","1","Standard","515931","630",7/9/1990 0:00:00,7/9/1990 0:00:00,59.707833,-151.135500,59.717333,-151.108167,,"07",11.000000,62.179199,65.836799,183.000000,,162.386068,623.689508,461.303440,"M",12.800000,,,"01",,"YES","1","1","9",,"0","0","0","0","0","0",,70.000000,"1",1.000000,1.010000,23,,,,
"1990","T04","012","1990T04012",12/30/1899 13:04:00,12/30/1899 13:25:00,"19433","2","2","Standard","515931","630",7/9/1990 0:00:00,7/9/1990 0:00:00,59.685833,-151.185833,59.674667,-151.210667,,"07",166.000000,47.548799,49.377599,137.000000,,147.871112,598.741928,450.870815,"M",12.700000,,,"01",,"YES","1","1","9",,"0","0","0","0","0","0",,70.000000,"1",1.000000,1.010000,21,,,,
"1990","T04","013","1990T04013",12/30/1899 15:11:00,12/30/1899 15:38:00,"19433","3","3","Standard","515933","630",7/9/1990 0:00:00,7/9/1990 0:00:00,59.639500,-151.222333,59.626167,-151.242500,,"07",156.000000,62.179199,69.494399,183.000000,,142.428004,576.969494,434.541490,"M",13.900000,,,"01",,"YES","1","1","9","Good Tow","0","0","0","0","0","0",,70.000000,"1",1.000000,1.010000,27,,,,
"1990","T04","014","1990T04014",12/30/1899 8:16:00,12/30/1899 8:39:00,"19433","11","11","Standard","515935","630",7/10/1990 0:00:00,7/10/1990 0:00:00,59.520000,-151.648500,59.522500,-151.617167,,"07",41.000000,106.070399,109.727999,320.000000,,174.179470,752.963334,578.783864,"M",10.000000,,,"01",,"YES","1","1","9",,"0","0","0","0","0","0",,70.000000,"0.97",1.000000,0.970000,23,,,,
"1990","T04","015","1990T04015",12/30/1899 9:50:00,12/30/1899 10:14:00,"19433","15","15","Standard","515936","630",7/10/1990 0:00:00,7/10/1990 0:00:00,59.514000,-151.800333,59.522333,-151.771167,,"07",11.000000,82.295999,84.124799,229.000000,,145.149558,970.687671,825.538113,"M",11.400000,,,"01","TP1","YES","1","1","9",,"0","0","0","0","0","0",,70.000000,"1.01",1.000000,1.020000,24,"Gear_perf changed",,,
"1990","T04","016","1990T04016",12/30/1899 12:27:00,12/30/1899 12:50:00,"19433","18","18","Standard","515937","630",7/10/1990 0:00:00,7/10/1990 0:00:00,59.532000,-151.908333,59.517833,-151.908333,,"07",161.000000,60.350399,64.007999,183.000000,,140.613634,560.640169,420.026534,"M",11.200000,,,"01",,"NO","1","1","9",,"0","0","0","0","0","0",,70.000000,"0.85",1.000000,1.000000,23,,,,
"1990","T04","017","1990T04017",12/30/1899 13:48:00,12/30/1899 14:13:00,"19433","19","19","Standard","515907","630",7/10/1990 0:00:00,7/10/1990 0:00:00,59.482833,-151.857000,59.473333,-151.884833,,"07",188.000000,62.179199,76.809599,183.000000,,,,2267.961850,"O",9.800000,,,"01",,"NO","1","1","9","catch not brought aboard due to weight,  estimated wt. 5,000 lbs.","0","0","0","0","0","0",,70.000000,"1.01",1.000000,1.020000,25,,,,
"1990","T04","018","1990T04018",12/30/1899 7:54:00,12/30/1899 8:18:00,"19433","4","4","Standard","515932","630",7/11/1990 0:00:00,7/11/1990 0:00:00,59.633167,-151.299000,59.639167,-151.268667,,"07",16.000000,58.521599,58.521599,183.000000,,159.664514,1008.789430,849.124916,"M",11.900000,,,"01","P1","YES","1","1","9","shrimp pot","0","0","0","0","0","0",,70.000000,"0.99",1.000000,0.990000,24,"Gear_perf changed",,,
"1990","T04","019","1990T04019",12/30/1899 10:53:00,12/30/1899 11:16:00,"19433","6","6","Standard","515933","630",7/11/1990 0:00:00,7/11/1990 0:00:00,59.612833,-151.318000,59.620667,-151.289500,,"07",11.000000,69.494399,69.494399,229.000000,,146.963927,1734.537222,1133.980925,"M",12.600000,,,"01",,"YES","1","1","9",,"0","0","0","0","0","0",,70.000000,"0.99",1.000000,0.990000,23,,,,
"1990","T05","001","1990T05001",,12/30/1899 13:09:00,"19433","52","52","Standard","525902","630",7/12/1990 0:00:00,7/12/1990 0:00:00,59.208000,-152.786000,59.211667,-152.771333,,"07",16.000000,120.700799,122.529599,366.000000,,144.242373,1124.909077,980.666703,"M",12.200000,,,"01",,"YES","1","2","4","Try course 60 degrees next time","0","0","0","0","0","0",,70.000000,"0.5",0.500000,0.500000,,,,,
"1990","T05","002","1990T05002",12/30/1899 14:55:00,12/30/1899 15:18:00,"19433","57","57","Standard","525902","630",7/12/1990 0:00:00,7/12/1990 0:00:00,59.128167,-152.770833,59.136333,-152.743333,,"07",21.000000,146.303999,149.961599,457.000000,,163.293253,875.433274,712.140020,"M",11.100000,,,"01",,"YES","1","2","7",,"0","0","0","0","0","0",,70.000000,"0.98",1.000000,0.980000,23,,,,
"1990","T05","003","1990T05003",12/30/1899 16:46:00,12/30/1899 17:00:00,"19433","61","61","Standard","525902","630",7/12/1990 0:00:00,7/12/1990 0:00:00,59.052833,-152.916333,59.055500,-152.902333,,"07",26.000000,149.961599,149.961599,457.000000,,146.056743,449.056446,302.999703,"M",11.400000,,,"01",,"YES","1","3","2",,"0","0","0","0","0","0",,70.000000,"0.46",0.500000,0.460000,14,,,,
"1990","T05","004","1990T05004",12/30/1899 7:56:00,12/30/1899 8:17:00,"19433","58","58","Standard","535901","630",7/13/1990 0:00:00,7/13/1990 0:00:00,59.071333,-153.430000,59.063333,-153.401833,,"07",66.000000,47.548799,53.035199,137.000000,,146.056743,1451.495584,1305.438840,"M",11.600000,,,"01",,"YES","2","2","9",,"0","0","0","0","0","0",,70.000000,"1",1.000000,1.000000,21,,,,
"1990","T05","005","1990T05005",12/30/1899 10:25:00,12/30/1899 10:47:00,"19433","60","60","Standard","535901","630",7/13/1990 0:00:00,7/13/1990 0:00:00,59.051167,-153.096333,59.039000,-153.074667,,"07",91.000000,133.502399,138.988799,411.000000,,177.808209,1339.911860,1162.103651,"M",11.200000,,,"01",,"YES","2","2","9",,"0","0","0","0","0","0",,70.000000,"0.99",1.000000,0.990000,22,,,,
"1990","T05","006","1990T05006",12/30/1899 12:17:00,12/30/1899 12:40:00,"19433","65","65","Standard","525831","630",7/13/1990 0:00:00,7/13/1990 0:00:00,58.966667,-152.920500,58.952833,-152.901667,,"07",101.000000,164.591999,166.420799,503.000000,,159.664514,961.615824,801.951310,"M",,,,"01",,"YES","2","2","9",,"0","0","0","0","0","0",,70.000000,"1.01",1.000000,1.020000,23,,,,
"1990","T05","007","1990T05007",12/30/1899 13:47:00,12/30/1899 14:10:00,"19433","68","68","Standard","525831","630",7/13/1990 0:00:00,7/13/1990 0:00:00,58.889500,-152.932667,58.902167,-152.911667,,"07",356.000000,162.763199,162.763199,503.000000,,161.478883,645.008350,483.529466,"M",12.200000,,,"01",,"YES","3","2","8",,"0","0","0","0","0","0",,70.000000,"1",1.000000,1.010000,23,,,,
"1990","T05","008","1990T05008",12/30/1899 15:22:00,12/30/1899 15:45:00,"19433","67","67","Standard","535834","630",7/13/1990 0:00:00,7/13/1990 0:00:00,58.887000,-153.057167,58.876333,-153.082333,,"07",201.000000,160.934399,166.420799,457.000000,,158.757329,932.585912,773.828583,"M",11.300000,,,"01",,"YES","3","3","9",,"0","0","0","0","0","0",,70.000000,"1",1.000000,1.010000,23,,,,
"1990","T05","009","1990T05009",12/30/1899 16:57:00,12/30/1899 17:11:00,"19433","64","64","Standard","535834","630",7/13/1990 0:00:00,7/13/1990 0:00:00,58.946500,-153.089666,58.948666,-153.073666,,"07",36.000000,162.763199,162.763199,503.000000,,,,680.388555,"T",,,,"20","T","NO","3","3","9","est.1,500 net torn badly","0","0","0","0","0","0",,70.000000,"0.5",0.500000,0.510000,14,,,,
"1990","T05","010","1990T05010",12/30/1899 8:03:00,12/30/1899 8:26:00,"19433","48","48","Standard","535901","630",7/15/1990 0:00:00,7/15/1990 0:00:00,59.198167,-153.419000,59.194500,-153.387167,,"07",51.000000,38.404799,40.233599,137.000000,,138.799265,476.271988,337.472723,"M",11.900000,,,"01",,"YES","2","3","5",,"0","0","0","0","0","0",,70.000000,"1",1.000000,1.000000,23,,,,
"1990","T05","011","1990T05011",12/30/1899 9:25:00,12/30/1899 9:47:00,"19433","53","53","Standard","535901","630",7/15/1990 0:00:00,7/15/1990 0:00:00,59.155333,-153.425667,59.149333,-153.395000,,"07",61.000000,43.891199,43.891199,137.000000,,143.335188,635.936502,492.601313,"M",11.700000,,,"01",,"YES","2","3","5",,"0","0","0","0","0","0",,70.000000,"1",1.000000,1.010000,22,,,,
"1990","T05","012","1990T05012",12/30/1899 11:13:00,12/30/1899 11:36:00,"19433","55","55","Standard","535901","630",7/15/1990 0:00:00,7/15/1990 0:00:00,59.130000,-153.104333,59.124833,-153.073833,,"07",61.000000,104.241599,115.214399,320.000000,,163.293253,748.427410,585.134157,"M",10.400000,,,"01",,"YES","2","3","5",,"0","0","0","0","0","0",,70.000000,"0.99",1.000000,0.990000,23,,,,
"1990","T05","013","1990T05013",12/30/1899 12:33:00,12/30/1899 12:58:00,"19433","56","56","Standard","525902","630",7/15/1990 0:00:00,7/15/1990 0:00:00,59.118500,-152.904333,59.131167,-152.926000,,"07",276.000000,138.988799,142.646399,411.000000,,167.829176,1770.824612,1602.995435,"M",10.100000,,,"01",,"YES","2","3","4",,"0","0","0","0","0","0",,70.000000,"1",1.000000,1.020000,25,,,,
"1990","T05","014","1990T05014",12/30/1899 14:04:00,12/30/1899 14:28:00,"19433","51","51","Standard","525902","630",7/15/1990 0:00:00,7/15/1990 0:00:00,59.204500,-152.912167,59.217833,-152.932833,,"07",291.000000,102.412799,118.871999,366.000000,,171.457915,1604.809805,1433.351889,"M",,,,"01",,"YES","2","2","1",,"0","0","0","0","0","0",,70.000000,"1.01",1.000000,1.030000,24,,,,
"1990","T05","015","1990T05015",12/30/1899 15:57:00,12/30/1899 16:19:00,"19433","46","46","Standard","525902","630",7/15/1990 0:00:00,7/15/1990 0:00:00,59.284000,-152.792500,59.274333,-152.819333,,"07",171.000000,93.268799,98.755199,274.000000,,154.221405,612.349699,458.128293,"M",12.700000,,,"01",,"YES","2","2","1",,"0","0","0","0","0","0",,70.000000,"1",1.000000,1.010000,22,,,,
"1990","T05","016","1990T05016",12/30/1899 17:24:00,12/30/1899 17:37:00,"19433","39","39","Standard","525902","630",7/15/1990 0:00:00,7/15/1990 0:00:00,59.371667,-152.744500,59.368167,-152.760333,,"07",181.000000,71.323199,71.323199,229.000000,,149.685482,376.481667,226.796185,"M",12.500000,,,"01",,"NO","2","2","9",,"0","0","0","0","0","0",,70.000000,"0.52",0.500000,0.530000,13,,,,
"1990","T05","017","1990T05017",12/30/1899 18:35:00,12/30/1899 18:58:00,"19433","38","38","Standard","525902","630",7/15/1990 0:00:00,7/15/1990 0:00:00,59.381500,-152.922667,59.392000,-152.921833,,"07",226.000000,58.521599,65.836799,183.000000,,150.592666,596.020374,445.427707,"M",12.200000,,,"01",,"YES","2","2","1",,"0","0","0","0","0","0",,70.000000,"0.62",1.000000,1.000000,23,,,,
"1990","T05","018","1990T05018",12/30/1899 21:19:00,12/30/1899 21:44:00,"19433","42","41","Standard","535905","630",7/15/1990 0:00:00,7/15/1990 0:00:00,59.270833,-153.479500,59.267333,-153.512833,,"07",196.000000,31.089599,31.089599,91.000000,,151.499851,653.173012,501.673161,"M",13.300000,,,"01",,"NO","1","1","1",,"0","0","0","0","0","0",,70.000000,"1.04",1.000000,1.040000,25,,,,
"1990","T05","019","1990T05019",12/30/1899 8:22:00,12/30/1899 8:45:00,"19433","471","47","Standard","535901","630",7/16/1990 0:00:00,7/16/1990 0:00:00,59.219500,-153.562000,59.225000,-153.562000,,"07",31.000000,34.747199,34.747199,91.000000,,146.963927,580.598233,433.634305,"M",12.600000,,,"01",,"YES","1","2","1",,"0","0","0","0","0","0",,70.000000,"0.33",1.000000,1.000000,23,,,,
"1990","T05","020","1990T05020",12/30/1899 10:50:00,12/30/1899 11:14:00,"19433","50","50","Standard","535901","630",7/16/1990 0:00:00,7/16/1990 0:00:00,59.212333,-153.084666,59.207666,-153.054000,,"07",66.000000,71.323199,73.151999,229.000000,,172.365100,476.271988,303.906887,"M",11.300000,,,"20","T","NO","2","2","1","Net badly ripped","0","0","0","0","0","0",,70.000000,"0.99",1.000000,0.980000,24,,,,
"1990","T05","021","1990T05021",12/30/1899 13:47:00,12/30/1899 13:47:00,"19433","44","44","Standard","535906","630",7/16/1990 0:00:00,7/16/1990 0:00:00,59.300500,-153.118000,59.310167,-153.091500,,"07",16.000000,53.035199,54.863999,183.000000,,140.613634,807.394418,666.780783,"M",12.200000,,,"01",,"YES","2","2","1",,"0","0","0","0","0","0",,70.000000,"1",1.000000,1.000000,0,,,,
"1990","T05","022","1990T05022",12/30/1899 14:55:00,12/30/1899 15:13:00,"19433","45","45","Standard","525902","630",7/16/1990 0:00:00,7/16/1990 0:00:00,59.295667,-152.943833,59.302500,-152.924833,,"07",11.000000,69.494399,74.980799,229.000000,,145.149558,400.068470,254.918911,"M",12.600000,,,"01","H","YES","1","2","1",,"0","0","0","0","0","0",,70.000000,"0.7",0.720000,0.710000,18,"Gear_perf changed",,,
"1990","T05","023","1990T05023",12/30/1899 16:41:00,12/30/1899 17:06:00,"19433","37","37","Standard","535906","630",7/16/1990 0:00:00,7/16/1990 0:00:00,59.374000,-153.084500,59.384167,-153.058667,,"07",16.000000,47.548799,47.548799,137.000000,,152.407036,552.475506,400.068470,"M",12.800000,,,"01",,"YES","2","2","1",,"0","0","0","0","0","0",,70.000000,"1",1.000000,1.000000,25,,,,
"1990","T05","024","1990T05024",12/30/1899 18:09:00,12/30/1899 18:30:00,"19433","33","33","Standard","535906","630",7/16/1990 0:00:00,7/16/1990 0:00:00,59.458333,-153.089667,59.467500,-153.067167,,"07",16.000000,40.233599,40.233599,137.000000,,161.478883,759.313627,597.834743,"M",13.100000,,,"01","H","YES","2","2","1","Hung up at 0.9 mile of tow","0","0","0","0","0","0",,70.000000,"0.87",0.900000,0.880000,21,"Gear_perf changed",,,
"1990","T05","025","1990T05025",12/30/1899 8:34:00,12/30/1899 8:57:00,"19433","32","32","Standard","535906","630",7/17/1990 0:00:00,7/17/1990 0:00:00,59.460000,-153.263667,59.469667,-153.237167,,"07",21.000000,31.089599,31.089599,91.000000,,154.221405,613.256884,459.035478,"M",12.900000,,,"01",,"YES","1","2","1","no stop time, min fished or distance recorded ","0","0","0","0","0","0",,70.000000,"1",,1.000000,23,,,,
"1990","T05","026","1990T05026",12/30/1899 10:06:00,12/30/1899 10:29:00,"19433","27","27","Standard","535931","630",7/17/1990 0:00:00,7/17/1990 0:00:00,59.549333,-153.257667,59.547333,-153.225667,,"07",66.000000,23.774399,25.603199,91.000000,,154.221405,478.993542,324.772136,"M",14.000000,,,"01",,"YES","1","2","1",,"0","0","0","0","0","0",,70.000000,"0.98",1.000000,0.980000,23,,,,
"1990","T05","027","1990T05027",12/30/1899 11:37:00,12/30/1899 11:59:00,"19433","28","28","Standard","535931","630",7/17/1990 0:00:00,7/17/1990 0:00:00,59.550167,-153.095333,59.541500,-153.067667,,"07",91.000000,32.918399,36.575999,91.000000,,142.428004,553.382691,410.954687,"M",13.400000,,,"01",,"YES","1","2","1",,"0","0","0","0","0","0",,70.000000,"0.99",1.000000,0.990000,22,,,,
"1990","T05","028","1990T05028",12/30/1899 13:46:00,12/30/1899 13:56:00,"19433","29","29","Standard","525931","630",7/17/1990 0:00:00,7/17/1990 0:00:00,59.542333,-152.921666,59.542166,-152.933500,,"07",211.000000,40.233599,40.233599,137.000000,,,,,"U",,,,"20","H","NO","1","2","1","bad tow. hung up, no data","0","0","0","0","0","0",,70.000000,"0.36",0.410000,0.410000,10,,,,
"1990","T05","029","1990T05029",12/30/1899 14:43:00,12/30/1899 15:05:00,"19433","29","29","Standard","525931","630",7/17/1990 0:00:00,7/17/1990 0:00:00,59.504167,-152.895833,59.501833,-152.929000,,"07",221.000000,42.062399,43.891199,137.000000,,154.221405,331.122430,176.901024,"M",13.800000,,,"01",,"YES","2","2","1",,"0","0","0","0","0","0",,70.000000,"1.01",1.000000,1.020000,22,,,,
